runfile('/local-scratch/parmis/inductive_learning/LP_inductive_learning/pn2_main.py', wdir='/local-scratch/parmis/inductive_learning/LP_inductive_learning')
Reloaded modules: dataCenter, utils, models, classification, plotter

KDD SETING: Namespace(DropOut_rate=0.3, Vis_step=50, batch_norm=True, config='experiments.conf', dataSet='cora', decoder_type='ML_SBM', encoder_layers='64', encoder_type='Multi_GCN', epoch_number=300, lr=0.01, model='KDD', mpath='VGAE_FrameWork_MODEL', negative_sampling_rate=1, num_node=-1, num_of_comunities=128, num_of_relations=2, save_embeddings_to_file=True, seed=123, split_the_data_to_train_test=True, use_feature=True)
using device 0 GeForce GTX TITAN X
DEVICE: 0
Finish spliting dataset to train and test.
Epoch: 001 | Loss: 2.805342 | Reconstruction_loss: 2.371756 | z_kl_loss: 0.433587 | Accuracy: 0.500277
Epoch: 002 | Loss: 2.390684 | Reconstruction_loss: 2.009251 | z_kl_loss: 0.381433 | Accuracy: 0.473804
Epoch: 003 | Loss: 2.580590 | Reconstruction_loss: 2.244576 | z_kl_loss: 0.336014 | Accuracy: 0.481086
Epoch: 004 | Loss: 2.470763 | Reconstruction_loss: 2.161930 | z_kl_loss: 0.308833 | Accuracy: 0.480881
Epoch: 005 | Loss: 3.976608 | Reconstruction_loss: 3.693046 | z_kl_loss: 0.283561 | Accuracy: 0.526771
Epoch: 006 | Loss: 3.940769 | Reconstruction_loss: 3.667325 | z_kl_loss: 0.273444 | Accuracy: 0.496384
Epoch: 007 | Loss: 1.859139 | Reconstruction_loss: 1.599846 | z_kl_loss: 0.259292 | Accuracy: 0.492627
Epoch: 008 | Loss: 2.579473 | Reconstruction_loss: 2.334464 | z_kl_loss: 0.245009 | Accuracy: 0.519285
Epoch: 009 | Loss: 2.294976 | Reconstruction_loss: 2.054534 | z_kl_loss: 0.240442 | Accuracy: 0.521291
Epoch: 010 | Loss: 1.763510 | Reconstruction_loss: 1.529242 | z_kl_loss: 0.234268 | Accuracy: 0.520422
Epoch: 011 | Loss: 1.559864 | Reconstruction_loss: 1.328330 | z_kl_loss: 0.231534 | Accuracy: 0.527815
Epoch: 012 | Loss: 1.560904 | Reconstruction_loss: 1.334320 | z_kl_loss: 0.226583 | Accuracy: 0.556614
Epoch: 013 | Loss: 1.422932 | Reconstruction_loss: 1.203406 | z_kl_loss: 0.219526 | Accuracy: 0.576221
Epoch: 014 | Loss: 1.326006 | Reconstruction_loss: 1.114152 | z_kl_loss: 0.211854 | Accuracy: 0.598741
Epoch: 015 | Loss: 1.217879 | Reconstruction_loss: 1.013935 | z_kl_loss: 0.203944 | Accuracy: 0.632516
Epoch: 016 | Loss: 1.121052 | Reconstruction_loss: 0.926095 | z_kl_loss: 0.194957 | Accuracy: 0.660115
Epoch: 017 | Loss: 1.028632 | Reconstruction_loss: 0.842054 | z_kl_loss: 0.186578 | Accuracy: 0.692993
Epoch: 018 | Loss: 0.964182 | Reconstruction_loss: 0.784180 | z_kl_loss: 0.180002 | Accuracy: 0.716488
Epoch: 019 | Loss: 0.905606 | Reconstruction_loss: 0.730204 | z_kl_loss: 0.175402 | Accuracy: 0.723860
Epoch: 020 | Loss: 0.881171 | Reconstruction_loss: 0.711275 | z_kl_loss: 0.169895 | Accuracy: 0.737299
Epoch: 021 | Loss: 0.867562 | Reconstruction_loss: 0.702734 | z_kl_loss: 0.164828 | Accuracy: 0.749607
Epoch: 022 | Loss: 0.800916 | Reconstruction_loss: 0.641427 | z_kl_loss: 0.159489 | Accuracy: 0.762533
Epoch: 023 | Loss: 0.764931 | Reconstruction_loss: 0.610182 | z_kl_loss: 0.154749 | Accuracy: 0.770413
Epoch: 024 | Loss: 0.752757 | Reconstruction_loss: 0.601939 | z_kl_loss: 0.150818 | Accuracy: 0.773106
Epoch: 025 | Loss: 0.733931 | Reconstruction_loss: 0.587746 | z_kl_loss: 0.146185 | Accuracy: 0.776966
Epoch: 026 | Loss: 0.676125 | Reconstruction_loss: 0.534674 | z_kl_loss: 0.141450 | Accuracy: 0.776392
Epoch: 027 | Loss: 0.672774 | Reconstruction_loss: 0.536038 | z_kl_loss: 0.136736 | Accuracy: 0.772460
Epoch: 028 | Loss: 0.620092 | Reconstruction_loss: 0.488262 | z_kl_loss: 0.131830 | Accuracy: 0.780650
Epoch: 029 | Loss: 0.612875 | Reconstruction_loss: 0.487161 | z_kl_loss: 0.125714 | Accuracy: 0.787053
Epoch: 030 | Loss: 0.585469 | Reconstruction_loss: 0.465575 | z_kl_loss: 0.119895 | Accuracy: 0.791796
Epoch: 031 | Loss: 0.562643 | Reconstruction_loss: 0.447417 | z_kl_loss: 0.115226 | Accuracy: 0.799810
